10000,Andrí© Gerhard Wohllebe,9-Jan-62,Male,186,87
10001,Christoph Wolf,26-Mar-61,Male,182,83
10002,Mark Zabel,12-Aug-73,Male,190,86
10003,Holger Zander,24-May-43,Male,176,78
10004,Thomas Zereske,22-May-66,Male,197,95
10005,"Benjamin ""Ben"" Kvanli",5-Feb-75,Male,175,63
10006,Ho Kim Fai,27-Nov-62,Female,164,60
10007,To Kit Yong,21-Sep-57,Female,165,60
10008,Cheung Chak Chuen,22-Sep-57,Male,180,75
10009,Chung Chi Lok,23-Jan-72,Male,179,70
1001,"Ronny Martinus Maria ""Ron"" Michels",23-Jul-65,Male,180,78
10010,Hui Cheong,20-Oct-56,Male,168,58
10011,Kwan Honk Wai,24-Feb-53,Male,161,53
10012,Luk Kwok Sun,13-Aug-60,Male,173,70
10013,Mak Chi Wai,28-Jan-37,Male,168,56
10014,Ng Hin Wan,19-Mar-58,Male,177,65
10015,Ng Tsuen Man,11-Jun-48,Male,178,74
10016,Tang Kwok Cheung,20-Apr-65,Male,171,60
10017,Tsoi Ngai Wan,12-Jun-60,Male,168,65
10018,John Wai,30-Jul-47,Male,164,57
10019,Klíçra Bíçnfalvi-Fried,9-May-31,Female,172,76
1002,Michiel Schapers,11-Oct-59,Male,200,83
10020,Katalin BenkŒÅíî,12-May-41,Female,176,70
10021,Kinga Czigíçny,17-Feb-72,Female,173,64
10022,íëí_va Dí_nusz,29-Sep-67,Female,170,60
10023,Vilma Egresi,7-May-36,Female,162,59
10024,Erika Gí©czi,10-Mar-59,Female,167,62
10026,Rita KŒÅíîbíçn,10-Apr-65,Female,174,69
10027,Szilvia Mednyíçnszki,2-Jan-71,Female,170,60
10028,Erika Mí©szíçros,24-Jun-66,Female,176,66
10029,Anna Pfeffer,31-Aug-45,Female,168,67
1003,"Johannes Martinus ""Jan"" Siemerink",14-Apr-70,Male,183,73
10030,Katalin Povíçzsíçn,2-Aug-60,Female,176,65
10031,Klíçra Rajnai,21-Nov-53,Female,173,64
10032,íëí_va Rakusz,13-May-61,Female,176,69
10033,Míçria Rí_ka,15-Sep-40,Female,172,65
10034,Katalin Síçgi-Rozsnyí_i,20-Nov-42,Female,162,56
10035,Míçria Zakariíçs,28-Dec-52,Female,165,58
10036,Attila íÅbrahíçm,29-Apr-67,Male,192,88
10037,Attila Adrovicz,8-Apr-66,Male,189,87
10038,Pí©ter Almíçsi,17-May-75,Male,192,88
10040,Zoltíçn Antal,8-Dec-71,Male,189,87
10041,Zoltíçn Bakí_,11-Oct-51,Male,190,80
10042,Krisztiíçn Bíçrtfai,16-Jul-74,Male,175,78
10045,Tamíçs Buday,5-Jul-52,Male,190,85
10046,Gí©za Csapí_,29-Dec-50,Male,183,82
10048,Ferenc Csipes,8-Mar-65,Male,183,90
10049,Istvíçn Csizmadia,16-Dec-44,Male,183,81
10050,Miklí_s Darvas,6-Jun-49,Male,185,87
10051,Jí_zsef Deme,11-Dec-51,Male,190,84
10053,Imre Farkas,23-Jun-35,Male,169,67
10054,Líçszlí_ Fidel,29-Jun-65,Male,187,85
10055,Líçszlí_ Foltíçn,25-May-53,Male,186,82
10056,Oszkíçr Frey,22-Apr-53,Male,190,80
10058,Csaba Giczy,5-Aug-45,Male,179,75
1006,Jeroen Michiel Laurens van Dijk,26-Aug-71,Male,193,85
10061,Zsolt Gyulay,12-Sep-64,Male,187,90
10062,Antal Hajba,16-Jan-38,Male,180,78
10064,Rí_bert HegedŒÅŒ±s,19-Feb-73,Male,194,96
10065,Tibor Helyi,19-Apr-63,Male,186,78
10067,Mihíçly Hesz (Hess),15-Dec-43,Male,186,81
10068,Csaba Horvíçth,7-Apr-71,Male,171,74
10070,Síçndor Hí_dosi,28-Apr-66,Male,188,84
10071,Istvíçn Joí_s,27-Mar-53,Male,186,85
10072,Zoltíçn Kammerer,10-Mar-78,Male,180,81
10073,Imre Kemecsey,11-Feb-41,Male,167,75
10076,GyÅçrgy Kolonics,24-Jun-72,Male,180,80
10077,Jí_zsef Kosztyíçn,11-Feb-55,Male,182,83
10079,Gusztíçv Leikep,19-Aug-66,Male,171,72
10080,GyÅçrgy Mí©szíçros,30-Apr-33,Male,181,80
100801,Cí©dric Thierry Sí©guin,3-Apr-73,Male,174,75
100804,Tone Gunn Frustíëí_l,21-Jun-75,Female,n/a,n/a
100805,Kai Georg Wiese,17-Sep-40,Male,179,75
100813,Audun Hadler-Olsen,6-Jan-69,Male,188,85
100825,Míçria Szolnoki,16-Jun-47,Female,170,58
10083,Attila Píçlizs,21-Apr-67,Male,183,88
100839,Nikolaos Vlangalis,26-Oct-07,Male,182,85
10084,Jíçnos Parti,24-Oct-32,Male,182,83
100843,Ute Wild (-NÅçtzel),14-Jun-65,Female,180,81
100847,Patricia Iní©s Sentous Lí_pez,19-Mar-50,Female,162,57
10085,Gyula Petrikovics,12-Jan-43,Male,173,67
10087,Pí©ter Povíçzsay,27-Jul-46,Male,180,72
10088,Imre Pulai,14-Nov-67,Male,201,114
10089,Andríçs Rajna,3-Sep-60,Male,190,88
1009,Joris Evert van Soerland,15-Oct-72,Male,192,82
10090,Jíçnos Ríçtkai,30-May-51,Male,177,78
10091,Zoltíçn Romhíçnyi,22-Feb-54,Male,190,83
10092,Jíçnos Sarusi Kis,29-Jun-60,Male,183,88
10093,íÅrpíçd Soltí©sz,16-Nov-44,Male,181,78
100934,Marlo Mariano Marcheco Rodräó»guez,8-Mar-63,Male,175,75
100936,Diana Sylvia Connolly-Carew (-Wrangel),7-Apr-40,Female,170,55
100939,Raheem Hamid Awfi,13-May-05,Male,n/a,n/a
10094,Attila Szabí_,3-May-63,Male,186,78
100941,Pasi Antero Hulkkonen,18-Jan-61,Male,177,64
100942,Santiago Ferníçndez,23-Sep-76,Male,192,93
100946,Heloäó»sa Helena Santos Roese,14-Oct-56,Female,180,64
100947,Wagner Antonio da Rocha,n/a,Male,n/a,n/a
100948,Roland d'Alvares da Cruz,5-Jul-30,Male,174,n/a
10095,Istvíçn Szabí_,15-Jun-50,Male,170,69
10096,Líçszlí_ Szabí_,2-Nov-53,Male,180,78
10097,Kíçroly Szegedi,21-Jun-53,Male,173,75
10098,Andríçs Szente,10-Dec-39,Male,179,79
101,"Christopher John ""Chris"" Hunt",1-Dec-68,Male,182,88
1010,Iyabo Akanmu,12-Aug-68,Female,n/a,n/a
10101,Zoltíçn Sztanity,1-Feb-54,Male,183,82
10102,Imre SzÅçllŒÅíîsi,19-Feb-41,Male,183,83
10105,Gíçbor Takíçcs,2-Oct-59,Male,170,76
10106,Tibor Tatai,4-Aug-44,Male,185,84
10107,Istvíçn Timíçr-Geng,7-Jan-40,Male,178,79
1011,Bose Kaffo,14-Dec-72,Female,165,62
10112,Csongor Vargha,13-Feb-46,Male,179,78
10113,Pí©ter Víçrhelyi,15-Apr-50,Male,180,80
10115,Istvíçn Vaskuti,4-Dec-55,Male,183,76
10116,Tamíçs Wichmann,4-Feb-48,Male,187,86
10118,GyÅçrgy Zala,19-Jan-69,Male,173,84
10119,Anisi,9-Jun-69,Male,169,67
1012,Abiola Olawunmi Odumosu,31-Oct-73,Female,n/a,n/a
10120,Abdul Karim,10-May-67,Male,163,66
10121,Abdul Razak,10-Oct-64,Male,163,59
10122,Ann McQuaid,26-Aug-51,Female,162,65
