"","V4","V5"
"1","Canoeing","Men's Kayak Doubles 500 metres"
"2","Canoeing","Men's Kayak Fours 1000 metres"
"3","Canoeing","Men's Kayak Singles 1000 metres"
"9","Canoeing","Men's Kayak Doubles 1000 metres"
"12","Canoeing","Men's Canadian Doubles 500 metres"
"13","Canoeing","Men's Canadian Singles 500 metres"
"15","Canoeing","Men's Kayak Singles Slalom"
"16","Canoeing","Women's Kayak Doubles 500 metres"
"17","Canoeing","Women's Kayak Singles 500 metres"
"18","Rowing","Women's Single Sculls"
"23","Badminton","Men's Singles"
"24","Badminton","Mixed Doubles"
"36","Canoeing","Men's Kayak Singles 500 metres"
"48","Tennis","Men's Singles"
"50","Canoeing","Women's Kayak Fours 500 metres"
"100","Canoeing","Men's Canadian Doubles 1000 metres"
"152","Canoeing","Men's Kayak Relay 4 × 500 metres"
"167","Fencing","Men's Sabre Team"
"168","Football","Women's Football"
"169","Sailing","Mixed One Person Dinghy"
"170","Rowing","Men's Coxless Pairs"
"171","Fencing","Women's Foil Individual"
"172","Fencing","Women's Foil Team"
"175","Sailing","Mixed Two Person Keelboat"
"176","Canoeing","Men's Canadian Singles 1000 metres"
"177","Rowing","Women's Coxed Eights"
"178","Swimming","Women's 100 metres Backstroke"
"179","Swimming","Women's 200 metres Backstroke"
"200","Equestrianism","Mixed Jumping Team"
"201","Football","Men's Football"
"203","Modern Pentathlon","Men's Individual"
"204","Modern Pentathlon","Men's Team"
"205","Rowing","Men's Quadruple Sculls"
"206","Rowing","Men's Single Sculls"
"209","Volleyball","Women's Volleyball"
"210","Volleyball","Men's Volleyball"
"211","Water Polo","Men's Water Polo"
"220","Badminton","Men's Doubles"
"224","Table Tennis","Women's Doubles"
"225","Table Tennis","Women's Singles"
"246","Table Tennis","Women's Team"
"278","Canoeing","Men's Canadian Singles Slalom"
"283","Badminton","Women's Singles"
"325","Canoeing","Women's Kayak Singles Slalom"
"376","Table Tennis","Men's Doubles"
"408","Table Tennis","Men's Singles"
"415","Athletics","Men's 4 × 100 metres Relay"
"454","Tennis","Men's Doubles"
"507","Weightlifting","Men's Middle Heavyweight"
"508","Weightlifting","Men's Heavyweight I"
"510","Weightlifting","Men's Middleweight"
"512","Weightlifting","Men's Heavyweight II"
"513","Weightlifting","Men's Bantamweight"
"521","Swimming","Women's 4 × 100 metres Medley Relay"
"522","Swimming","Women's 4 × 100 metres Freestyle Relay"
"527","Swimming","Women's 100 metres Breaststroke"
"528","Swimming","Women's 200 metres Breaststroke"
"530","Swimming","Women's 200 metres Freestyle"
"533","Swimming","Men's 50 metres Freestyle"
"534","Swimming","Men's 400 metres Individual Medley"
"535","Swimming","Women's 200 metres Butterfly"
"538","Swimming","Men's 4 × 200 metres Freestyle Relay"
"539","Boxing","Men's Light Middleweight"
"546","Boxing","Men's Lightweight"
"547","Boxing","Men's Light Welterweight"
"549","Boxing","Men's Welterweight"
"550","Boxing","Men's Heavyweight"
"553","Wrestling","Men's Bantamweight Freestyle"
"555","Diving","Women's Platform"
"559","Diving","Men's Platform"
"560","Wrestling","Men's Featherweight Freestyle"
"561","Wrestling","Men's Welterweight Freestyle"
"562","Wrestling","Men's Light Heavyweight Freestyle"
"563","Wrestling","Men's Super Heavyweight Freestyle"
"564","Wrestling","Men's Lightweight Greco Roman"
"567","Swimming","Men's 100 metres Butterfly"
"568","Judo","Men's Half Lightweight"
"574","Athletics","Men's 4 × 400 metres Relay"
"575","Judo","Men's Lightweight"
"576","Cycling","Men's Road Race Individual"
"577","Cycling","Men's Points Race"
"579","Gymnastics","Women's Balance Beam"
"580","Gymnastics","Women's Floor Exercise"
