Afghanistan,24.2,172,60.3
Albania,24.5,177.3,78.3
Algeria,24.4,173.9,66.8
American Samoa,21.2,173.3,81.4
Andorra,28.3,172,67.3
Angola,26.5,174.7,69.2
Antigua and Barbuda,23,176.7,71.7
Argentina,27.7,179.9,77.8
Armenia,25.8,175,78.1
Aruba,23.8,172.5,76.8
Australia,26.4,179.1,75.5
Austria,28.1,177.3,70.8
Azerbaijan,25,173.5,75.4
The Bahamas,25.5,179,73.7
Bahrain,22.8,167,53.4
Bangladesh,20.6,166.8,64.5
Barbados,23,183.5,74.2
Belarus,26.5,177,74.6
Belgium,27.2,177.8,71
Belize,27.3,164,66.7
Benin,26.2,174.6,69
Bermuda,27.8,175.2,67.7
Bhutan,27.5,155,60
Bolivia,25,178,80
Bosnia and Herzegovina,28,182.5,81
Botswana,23.8,179,60
Brazil,27,178.5,74.6
Brunei,18.7,168,59
Bulgaria,26.4,177.2,73.3
Burkina Faso,22.8,173.4,67.4
Burundi,21.6,173.5,64.4
Cote d'Ivoire,23.6,172.5,65.7
Cambodia,22.5,169.5,57.8
Cameroon,23.7,167.4,67.8
Canada,26.6,175.8,72.4
Cape Verde,22.3,176.3,75.3
Cayman Islands,25.8,183,78.8
Central African Republic,23.3,172.7,
Chad,18.7,171.3,67.3
Chile,29.1,171.8,71.5
Colombia,24.9,170.3,63.4
Comoros,21.3,165.3,56.7
Democratic Republic of the Congo,26.1,173.9,71.8
Cook Islands,19,164.3,72.9
Costa Rica,26.2,175,67.8
Croatia,27.5,185.1,84
Cuba,25.1,,73.1
Cyprus,25.8,177.3,73
Czech Republic,26.9,180.7,76.3
North (PDR of Korea) Korea,21.8,162.9,57.7
Republic of the Congo,25.8,177.8,78
East Timor (Timor-Leste),24,159.5,53
Denmark,27.9,180.9,75.9
Djibouti,19.5,,
Dominica,21.5,169,59
Dominican Republic,24.8,175.6,66.2
Ecuador,25.1,171.6,63.6
Egypt,24.4,174.7,75.9
El Salvador,23.4,169.8,65.5
Equatorial Guinea,29,176,68
Eritrea,24.6,173.4,59.5
Estonia,27.2,183.3,85.8
Ethiopia,23.5,170,54.1
Federated States of Micronesia,27.5,165.5,69
Fiji,25.1,175,79.4
Finland,28,175.6,70
Macedonia,19.5,177.5,68
France,26.9,178,72
Gabon,21.8,172.7,72.6
The Gambia,22,155,68
Georgia,25.1,177.2,77.7
Germany,26.8,179.6,76
Ghana,23.6,168.8,69.8
Great Britain,26.3,178.9,74.5
Greece,26.9,179.7,76.6
Grenada,24.3,177.8,62.3
Guam,23.6,176.1,85.6
Guatemala,24.2,172.1,73.9
Guinea,22.5,169.5,79.8
Guinea-Bissau,25.8,168.3,67
Guyana,24,172.7,63.8
Haiti,24.8,160,52
Honduras,22.1,168.6,69.8
Hong Kong,24.8,170.2,64.4
Hungary,26.3,181.2,78.7
Iceland,28.3,190.9,94.9
Independent Olympic Athletes,24.8,177,72.8
India,25.5,170,66.7
Indonesia,23.5,165.6,62.8
Iraq,22.5,171.3,75.2
Ireland,28.5,175.4,67.4
Iran,25.2,178.7,82.5
Israel,24.6,174.7,71.8
Italy,27.4,177.9,72.8
Jamaica,26.4,175,71.1
Japan,25.2,169.3,64.2
Jordan,24.7,173,64.8
Kazakhstan,25.9,177.1,74
Kenya,24.8,169.2,58.2
Kiribati,21.3,164.3,76
Kuwait,29,179.3,79.1
Kyrgyzstan,22.8,175.5,73.2
Laos,18,166,58.3
Latvia,26.2,181.4,77.9
Lebanon,21.8,174.3,69.1
Lesotho,23,169.5,58.5
Liberia,26,173.3,71
Libya,28.5,172.5,62.5
Liechtenstein,26.3,174.7,67.3
Lithuania,27.2,183.8,80.8
Luxembourg,29.2,177,67.3
Madagascar,24.6,169.4,64.6
Malawi,23,171.3,71.3
Malaysia,23.8,168.8,62.7
