"","sport","discipline","name","sex"
"1","aquatics","backstroke","100m Backstroke","female"
"2","aquatics","backstroke","200m Backstroke","female"
"3","aquatics","backstroke","100m Backstroke","male"
"4","aquatics","backstroke","200m Backstroke","male"
"5","aquatics","breaststroke","100m Breaststroke","female"
"6","aquatics","breaststroke","200m Breaststroke","female"
"7","aquatics","breaststroke","100m Breaststroke","male"
"8","aquatics","breaststroke","200m Breaststroke","male"
"9","aquatics","butterfly","100m Butterfly","female"
"10","aquatics","butterfly","200m Butterfly","female"
"11","aquatics","butterfly","100m Butterfly","male"
"12","aquatics","butterfly","200m Butterfly","male"
"13","aquatics","diving","10m Platform","female"
"14","aquatics","diving","3m Springboard","female"
"15","aquatics","diving","Synchronised 10m Platform","female"
"16","aquatics","diving","Synchronised 3m Springboard","female"
"17","aquatics","diving","10m Platform","male"
"18","aquatics","diving","3m Springboard","male"
"19","aquatics","diving","Synchronised 10m Platform","male"
"20","aquatics","diving","Synchronised 3m Springboard","male"
"21","aquatics","freestyle","100m Freestyle","female"
"22","aquatics","freestyle","200m Freestyle","female"
"23","aquatics","freestyle","4 x 100m Freestyle Relay","female"
"24","aquatics","freestyle","4 x 200m Freestyle Relay","female"
"25","aquatics","freestyle","400m Freestyle","female"
"26","aquatics","freestyle","50m Freestyle","female"
"27","aquatics","freestyle","800m Freestyle","female"
"28","aquatics","freestyle","100m Freestyle","male"
"29","aquatics","freestyle","1500m Freestyle","male"
"30","aquatics","freestyle","200m Freestyle","male"
"31","aquatics","freestyle","4 x 100m Freestyle Relay","male"
"32","aquatics","freestyle","4 x 200m Freestyle Relay","male"
"33","aquatics","freestyle","400m Freestyle","male"
"34","aquatics","freestyle","50m Freestyle","male"
"35","aquatics","marathon swimming","10km","female"
"36","aquatics","marathon swimming","10km","male"
"37","aquatics","medley","200m Individual Medley","female"
"38","aquatics","medley","4 x 100m Medley Relay","female"
"39","aquatics","medley","400m Individual Medley","female"
"40","aquatics","medley","200m Individual Medley","male"
"41","aquatics","medley","4 x 100m Medley Relay","male"
"42","aquatics","medley","400m Individual Medley","male"
"43","aquatics","synchronised swimming","Duets","female"
"44","aquatics","synchronised swimming","Teams","female"
"45","aquatics","water polo","water polo","female"
"46","aquatics","water polo","water polo","male"
"47","archery","archery","Individual","female"
"48","archery","archery","Team","female"
"49","archery","archery","Individual","male"
"50","archery","archery","Team","male"
"51","athletics","combined","Heptathlon","female"
"52","athletics","combined","Decathlon","male"
"53","athletics","jumps","High Jump","female"
"54","athletics","jumps","Long Jump","female"
"55","athletics","jumps","Pole Vault","female"
"56","athletics","jumps","Triple Jump","female"
"57","athletics","jumps","High Jump","male"
"58","athletics","jumps","Long Jump","male"
"59","athletics","jumps","Pole Vault","male"
"60","athletics","jumps","Triple Jump","male"
"61","athletics","road","20km Walk","female"
"62","athletics","road","Marathon","female"
"63","athletics","road","20km Walk","male"
"64","athletics","road","50km Walk","male"
"65","athletics","road","Marathon","male"
"66","athletics","throws","Discus Throw","female"
"67","athletics","throws","Hammer Throw","female"
"68","athletics","throws","Javelin Throw","female"
"69","athletics","throws","Shot Put","female"
"70","athletics","throws","Discus Throw","male"
