Sport,Discipline,Event,Gender
Judo,Judo,- 48 kg,W
Judo,Judo,- 48 kg,W
Judo,Judo,- 48 kg,W
Judo,Judo,- 48 kg,W
Wrestling,Wrestling Free.,- 48kg,W
Wrestling,Wrestling Free.,- 48kg,W
Wrestling,Wrestling Free.,- 48kg,W
Wrestling,Wrestling Free.,- 48kg,W
Taekwondo,Taekwondo,- 49 kg,W
Taekwondo,Taekwondo,- 49 kg,W
Taekwondo,Taekwondo,- 49 kg,W
Taekwondo,Taekwondo,- 49 kg,W
Wrestling,Wrestling Free.,- 55kg,M
Wrestling,Wrestling Free.,- 55kg,M
Wrestling,Wrestling Free.,- 55kg,M
Wrestling,Wrestling Free.,- 55kg,M
Wrestling,Wrestling Gre-R,- 55kg,M
Wrestling,Wrestling Gre-R,- 55kg,M
Wrestling,Wrestling Gre-R,- 55kg,M
Wrestling,Wrestling Gre-R,- 55kg,M
Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M
Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M
Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M
Taekwondo,Taekwondo,- 58 kg,M
Taekwondo,Taekwondo,- 58 kg,M
Taekwondo,Taekwondo,- 58 kg,M
Taekwondo,Taekwondo,- 58 kg,M
Judo,Judo,- 60 kg,M
Judo,Judo,- 60 kg,M
Judo,Judo,- 60 kg,M
Judo,Judo,- 60 kg,M
Judo,Judo,+ 100kg (heavyweight),M
Judo,Judo,+ 100kg (heavyweight),M
Judo,Judo,+ 100kg (heavyweight),M
Judo,Judo,+ 100kg (heavyweight),M
Weightlifting,Weightlifting,+ 105kg,M
Weightlifting,Weightlifting,+ 105kg,M
Weightlifting,Weightlifting,+ 105kg,M
Taekwondo,Taekwondo,+ 67 kg,W
Taekwondo,Taekwondo,+ 67 kg,W
Taekwondo,Taekwondo,+ 67 kg,W
Taekwondo,Taekwondo,+ 67 kg,W
Weightlifting,Weightlifting,+ 75kg,W
Weightlifting,Weightlifting,+ 75kg,W
Weightlifting,Weightlifting,+ 75kg,W
Judo,Judo,+ 78kg (heavyweight),W
Judo,Judo,+ 78kg (heavyweight),W
Judo,Judo,+ 78kg (heavyweight),W
Judo,Judo,+ 78kg (heavyweight),W
Taekwondo,Taekwondo,+ 80 kg,M
Taekwondo,Taekwondo,+ 80 kg,M
Taekwondo,Taekwondo,+ 80 kg,M
Taekwondo,Taekwondo,+ 80 kg,M
Boxing,Boxing,+ 91kg (super heavyweight),M
Boxing,Boxing,+ 91kg (super heavyweight),M
Boxing,Boxing,+ 91kg (super heavyweight),M
Boxing,Boxing,+ 91kg (super heavyweight),M
Athletics,Athletics,10000m,M
Athletics,Athletics,10000m,M
