"","country","year","role"
"1","ESP",2016,"participant"
"2","KOR",2016,"participant"
"3","CAN",2016,"participant"
"4","MDA",2016,"participant"
"5","NZL",2016,"participant"
"6","AUS",2016,"participant"
"7","USA",2016,"participant"
"10","ETH",2016,"participant"
"12","BRN",2016,"participant"
"13","IOA",2016,"participant"
"16","GBR",2016,"participant"
"17","UZB",2016,"participant"
"18","RSA",2016,"participant"
"20","EGY",2016,"participant"
"21","MAR",2016,"participant"
"22","QAT",2016,"participant"
"23","SUD",2016,"participant"
"28","ALG",2016,"participant"
"43","DEN",2016,"participant"
"44","NED",2016,"participant"
"45","DJI",2016,"participant"
"46","SEN",2016,"participant"
"47","CMR",2016,"participant"
"48","ITA",2016,"participant"
"49","NIG",2016,"participant"
"50","SWE",2016,"participant"
"51","GHA",2016,"participant"
"52","AFG",2016,"participant"
"54","AZE",2016,"participant"
"55","KSA",2016,"participant"
"57","BAN",2016,"participant"
"58","NGR",2016,"participant"
"61","RUS",2016,"participant"
"64","IND",2016,"participant"
"66","HUN",2016,"participant"
"67","KAZ",2016,"participant"
"70","BDI",2016,"participant"
"71","ERI",2016,"participant"
"75","POL",2016,"participant"
"80","BRA",2016,"both"
"84","GEO",2016,"participant"
"87","CZE",2016,"participant"
"90","SEY",2016,"participant"
"95","GAM",2016,"participant"
"96","LTU",2016,"participant"
"97","IRI",2016,"participant"
"102","ROU",2016,"participant"
"114","CUB",2016,"participant"
"123","SLO",2016,"participant"
"124","BAH",2016,"participant"
"128","ARG",2016,"participant"
"131","PUR",2016,"participant"
"134","FRA",2016,"participant"
"136","RWA",2016,"participant"
"138","TOG",2016,"participant"
"140","MDV",2016,"participant"
"142","TUN",2016,"participant"
"147","ISR",2016,"participant"
"151","LAT",2016,"participant"
"165","JOR",2016,"participant"
"167","MAS",2016,"participant"
"168","LIB",2016,"participant"
"175","LBA",2016,"participant"
"181","PLE",2016,"participant"
"183","IRQ",2016,"participant"
"192","TUR",2016,"participant"
"195","VEN",2016,"participant"
"196","JPN",2016,"participant"
"199","TPE",2016,"participant"
"200","KGZ",2016,"participant"
"201","CHN",2016,"participant"
"204","MEX",2016,"participant"
"208","GRE",2016,"participant"
"212","IRL",2016,"participant"
"225","JAM",2016,"participant"
"231","SUI",2016,"participant"
"240","BAR",2016,"participant"
"275","HON",2016,"participant"
"276","ANG",2016,"participant"
"288","GER",2016,"participant"
"289","COL",2016,"participant"
"300","URU",2016,"participant"
"303","MNE",2016,"participant"
"304","SRB",2016,"participant"
"306","BUL",2016,"participant"
"327","FIN",2016,"participant"
"329","UKR",2016,"participant"
"330","BLR",2016,"participant"
"338","SMR",2016,"participant"
"352","COK",2016,"participant"
"366","SAM",2016,"participant"
"379","AUT",2016,"participant"
"381","BEL",2016,"participant"
"389","KEN",2016,"participant"
"412","SVK",2016,"participant"
"448","POR",2016,"participant"
"455","ECU",2016,"participant"
"476","UAE",2016,"participant"
"502","NAM",2016,"participant"
"524","GUY",2016,"participant"
"535","EST",2016,"participant"
"541","SKN",2016,"participant"
"544","ARU",2016,"participant"
"551","PAN",2016,"participant"
"552","PER",2016,"participant"
"555","TAN",2016,"participant"
"561","FIJ",2016,"participant"
"573","GUI",2016,"participant"
"578","NOR",2016,"participant"
"580","ARM",2016,"participant"
"583","THA",2016,"participant"
"588","SIN",2016,"participant"
"597","TKM",2016,"participant"
"599","CRO",2016,"participant"
"610","BIH",2016,"participant"
"628","TGA",2016,"participant"
"635","MAW",2016,"participant"
"657","DOM",2016,"participant"
"673","GUA",2016,"participant"
"688","MKD",2016,"participant"
"716","TJK",2016,"participant"
"779","CYP",2016,"participant"
"809","CHI",2016,"participant"
"828","MLT",2016,"participant"
"832","ZIM",2016,"participant"
"833","TTO",2016,"participant"
"842","CRC",2016,"participant"
