State_code,State_name,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612
AL,Alabama,43,49.8,59.7,63.7,70.2,79.3,81.9,81.5,78.5,68.5,57.8,50.1
AK,Alaska,17.2,17.3,18.8,33.3,44,51.8,55.6,53.2,42.3,29.8,13.5,6
AZ,Arizona,41.9,50.6,55,58.6,64.7,80.4,82.4,77.6,71.7,66.1,53.2,44.7
AR,Arkansas,39.5,46.9,55.5,62.5,67.1,78.9,82,79.9,75.7,66.9,55.6,42.5
CA,California,44.6,51.8,52.6,58,62.2,73.4,76.8,76.2,69.5,60.5,52.8,43.5
CO,Colorado,25.6,32.3,38,43.7,50.8,66.4,69.2,64.6,59.7,51.8,40.2,24.9
CT,Connecticut,29.5,31.8,43,46.5,58.1,67.2,73.9,73.6,65.9,53.2,43.3,32.4
DE,Delaware,34.3,38.4,49.6,53.1,61.5,72.2,79.4,78.4,71.9,60,49,39
FL,Florida,56.9,59.4,68.7,71,76.1,81.9,83.9,83,81.2,74.8,66.7,66
GA,Georgia,44.4,50,60.9,64,70.8,79.7,82.8,81.6,77.5,67.9,57.9,52.1
HI, Hawaii,74.2,74.7,74.5,77.9,78.8,79.1,81.1,81.5,80.5,79.8,77.4,
ID,Idaho,25.8,32,37,47,50.7,61.3,64.9,64.8,54.7,45.8,38.8,18.7
IL,Illinois,26.8,33.8,47.3,53,62,74.8,75.7,75.7,70.8,59.9,48,28.8
IN,Indiana,27.5,33.9,47.3,52.1,60.6,72.9,74.7,75.7,69.9,59.5,47.1,29.8
IA,Iowa,19.5,28.5,42.4,50.2,59.5,73,72.8,72.1,67.3,55.3,45.1,22.9
KS,Kansas,32,40.8,49.7,56.2,61.6,77.5,79.7,76.5,70.8,61.5,49.9,29.8
KY,Kentucky,31.7,39,51.8,57.4,63,75,78,78.1,72.4,62.8,50,37.1
LA,Louisiana,48.9,55.3,63.7,68.3,73.2,80.9,83.8,82.5,80.3,71.3,62.3,54.7
ME,Maine,20.1,21.9,29.2,37.5,52.8,60.3,66.9,66.5,59.1,46.9,37.2,20.4
MD,Maryland,32.1,37,49.3,53.1,61,72.2,78.3,77.9,71.6,59.4,47.7,38
MA,Massachusetts,28.5,30.8,41,45,57.2,66,72.6,72.5,64.5,52.2,42.2,30.9
MI,Michigan,22.2,25.3,36,40.8,55.4,64.7,70.3,70.7,63.5,51.6,42.7,25
MN,Minnesota,12.5,20,35.7,42.5,56.6,65.5,69.3,68.1,60.6,48.2,40.1,15.2
MS,Mississippi,43.8,51,60.4,65.3,70.6,80.2,82.6,82.1,79,69.2,58.3,49.7
MO,Missouri,30.9,39,50.4,57.3,62.8,77,78.2,76.7,71.8,62.1,51,32.4
MT,Montana,23.5,33.6,37.4,45,51,62.4,65.9,64.4,54.8,44.3,39.2,13.9
NE,Nebraska,26,35,43.9,49.9,57.3,73.3,74.1,71.8,64.9,55.3,44.3,23.8
NV,Nevada,31,38.1,44.2,50.2,55.2,69.8,73.8,72.2,62.3,53.2,43.4,30.3
NH,New Hampshire,22.9,25.5,35.2,40.2,54.8,62.6,68.5,68.4,60.5,48,37.9,24.4
NJ,New Jersey,31.5,36,47,50.7,60.1,70.6,77.2,76.9,69.8,56.7,46.7,36.3
NM,New Mexico,34.2,42,48.3,52.3,59.3,72.9,76.8,70.1,66,59.6,46.6,37.6
NY,New York,23.7,26.7,37.7,41.3,55.7,64,70.4,70.9,62.9,50.5,40.1,27.5
NC,North Carolina,38.4,43.2,56.3,58.8,65.9,75.3,80.1,79.3,74.3,63.3,51.7,44.1
ND,North Dakota,14.6,25.6,36.2,41.9,56.5,65.9,69.2,68,58.6,46.1,39.2,10.1
OH,Ohio,27.2,33.5,46.5,50.2,59.7,71.2,74.8,75.9,69.2,57.7,45.8,31
OK,Oklahoma,38.1,47.3,54.7,61.3,66.1,79.2,83.2,80.8,75.2,66.9,55.4,38.7
OR,Oregon,33.2,40.3,41.1,50.1,53.2,60.5,64.4,66.6,57.1,48,43.3,27.1
PA,Pennsylvania,25.5,30.8,43.5,47.1,57.5,67.4,73.1,73.5,66.3,53.7,42.8,31.2
RI,Rhode Island,31.2,33.1,43,46.2,57.9,66.9,73.8,73.9,66.4,54.8,45.1,34.3
SC,South Carolina,43,47.9,60.5,63.1,70.1,79.8,83.8,82,77.1,66.4,55.6,49
SD,South Dakota,19.8,31.2,40.1,46.3,56.7,70.6,72.9,70.9,62.4,51.7,42,15.5
TN,Tennessee,34.8,42.4,53.9,59.5,65.2,76.4,79.7,78.9,74.1,64.5,52.6,40.9
TX,Texas,46.4,54.4,61.3,66,71.5,80.1,85.4,81.5,77.6,70.9,61,49.6
UT,Utah,26.7,33.8,42.1,47.8,54.4,70.9,73.8,70.2,61.2,53.2,41.8,27.2
VT,Vermont,20.9,23.8,33.6,38.3,54.2,62,67.5,67.6,60,47.9,37,23.9
VA,Virginia,33.1,38.4,51.8,55.2,61.9,71.9,77.4,77.1,72,59.9,48.4,39.1
WA,Washington,33,39.2,41.9,51.6,55.1,59.9,63.7,65.9,56.5,47.4,43.1,25.9
WV,West Virginia,27.7,34.9,48.6,53,59.5,69.5,73.7,75.1,69.4,57.4,45.7,35.7
WI,Wisconsin,16.2,22.7,36.8,42.9,56.1,65.8,69.9,69.5,62.6,50.4,41.7,19.9
WY,Wyoming,22.7,29.9,34.5,41.8,47.8,63.8,66.7,63.4,55.3,46.4,37,16.2
DC,D.C.,31.6,37,50.6,54.1,61.9,73.1,79.5,79.4,73.1,59.4,47.7,
PR, Puerto Rico,78.6,78.9,79,80.2,81.9,83.8,83.3,83.7,83.5,83.8,81.4,
